ID_CONVOCATORIA,NME_CONVOCATORIA,ANO_CONVO,ID_PRODUCTO_PD,NME_CLASE_PD,NME_TIPO_MEDICION_PD,NME_TIPOLOGIA_PD,ID_TIPO_PD_MED,NME_CATEGORIA_PD,FCREACION_PD,NME_PRODUCTO_PD,COD_GRUPO_GR,NME_GRUPO_GR,ID_PERSONA_PD,year
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0001255924-148,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/11/2018,Tetralogy of Fallot Repair in Developing Countries: International Quality Improvement Collaborative,COL0008737,Grupo de Investigacion en Cardiologia,0001255924,2018
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000522970-63,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/01/2018,Freeze desalination by the integration of falling film and block freezeconcentration techniques,COL0014411,PROCESOS AGROINDUSTRIALES UNISABANA,0000522970,2018
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0001481461-2,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_B,Artículos de investigación Con Calidad B,03/01/2013,"Caracterización del suicidio en el departamento de Risaralda, Colombia, 2005-2010",COL0122016,"""Cuchavira"" Socialización, Poder y Conocimiento",0000000000,2013
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000755710-20,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,05/01/2010,Applicability of the polymeric precursor method to the synthesis of nanometric single- and multi-layers of Zn12xMnxO (x 5 0¿0.3),COL0007856,Materiales Cerámicos y Vítreos,0000755710,2010
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000220949-33,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_B,Artículos de investigación Con Calidad B,01/01/2008,"Alimentary canal and reproductive tract of /Hypothenemus hampei/ (Ferrari) (Coleoptera:Curculionidae, Scolytinae)",COL0013586,Manejo integrado de plagas- Disciplina de Entomología,0000000000,2008
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000534463-77,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,01/07/2015,Escuelas de Campo en papa y su aporte en la construcción de procesos organizativos en dos municipios colombianos,COL0005486,GRUPO DE INVESTIGACIÓN EN GESTIÓN Y DESARROLLO RURAL,0000534463,2015
16.0,Convocatoria 640 de 2013,01/01/2013,ART-0000003531-15,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_C,Artículos de investigación Con Calidad C,01/06/2013,La gestión de clientes: exploración sobre la practica entre un grupo de profesionales de mercadeo en Colombia.,COL0044976,Grupo de Estudios en Administración,0000003531,2013
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000146056-297,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,01/12/2018,Effects of biflavonoids from Garcinia madruno on a triple transgenic mouse model of Alzheimer's disease.,COL0010744,Grupo de Neurociencias de Antioquia,0000146056,2018
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000216747-126,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A2,Artículos de investigación Con Calidad A2,10/01/2015,Vitrificación y calentamiento en pajilla modificada de blstocistos bovinos producidos in vitro,COL0071267,"Grupo de investigación en producción, desarrollo y transformación agropecuaria",0000216747,2015
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0001392065-28,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,12/01/2010,Susceptibility of rare-earth-magnesium alloys to micro-galvanic corrosion.,COL0028874,Grupo de Investigación en Desarrollo y Tecnología de Nuevos Materiales,0001392065,2010
18.0,Convocatoria 737 de 2015,01/01/2015,ART-0000749257-37,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,03/01/2014,"Subpixelic Measurement of Large 1D Displacements: Principle, Processing Algorithms, Performances and Software",COL0021185,Materiales Avanzados y Energía,0000749257,2014
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000145165-154,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,10/01/2013,A matheuristic for the truck and trailer routing problem,COL0014529,PYLO,0000145165,2013
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000192660-39,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,06/01/2012,De lo doméstico/manso a lo lejano/arisco; Un recorrido por la cartografía simbólica del territorio negro de Chocó,COL0002671,"Comunicación, Periodismo y Sociedad",0000192660,2012
20.0,Convocatoria 833 de 2018,06/12/2019,ART-0000338117-99,Nuevo conocimiento,Nuevo conocimiento Tipo B,Artículos de investigación,ART-ART_D,Artículos de investigación Con Calidad D,01/01/2015,Definición de dimensiones antropométricas en la construcción de guantes a partir de requerimientos de diseño,COL0045033,Micro y macroergonomía en productos y procesos MIMA-PRO,0000338117,2015
18.0,Convocatoria 737 de 2015,01/01/2015,ART-0000029106-30016,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,07/01/2009,Dizziness among community-dwelling elderly adults: results from Andes mountains,COL0009814,Grupo de Investigación en Gerontología y Geriatría,0000029106,2009
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000052671-90,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,04/01/2013,Cytokine production by non-stimulated peripheral blood NK cells and lymphocytes in early-onset severe pre-eclampsia without HELLP.,COL0061636,"Nacer, Salud Sexual y Reproductiva",0000052671,2013
19.0,Convocatoria 781 de 2017,01/01/2017,ART-0000110043-157,Nuevo conocimiento,Nuevo conocimiento Tipo A,Artículos de investigación,ART-ART_B,Artículos de investigación Con Calidad B,04/01/2013,"Chemical Composition and Anti-irritant Capacity of Whole Body Extracts of Ulomoides dermestoides (Coleoptera,Tenebrionidae)",COL0105599,Grupo de Investigación en Productos Naturales y Bioquímica de Macromoléculas,0000110043,2013
17.0,Convocatoria 693 de 2014,01/01/2014,ART-0000146315-86,Nuevo conocimiento,Nuevo conocimiento Top,Artículos de investigación,ART-ART_A1,Artículos de investigación Con Calidad A1,04/01/2009,Brain mitochondria as a primary target in the development of treatment strategies for Alzheimer disease,COL0014009,Bioquímica Experimental y Computacional,0000146315,2009
